
Integration time [ms]: 1000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1308032U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
340.468; 1320.667;  187.278; 1267.056
341.060; 1228.667;  160.278; 1186.056
341.653; 1324.667;  153.278; 1274.056
342.246; 1236.667;  150.278; 1280.056
342.838; 1208.667;  182.278; 1155.056
343.431; 1345.667;  188.278; 1259.056
344.024; 1303.667;  191.278; 1304.056
344.616; 1179.667;  167.278; 1154.056
345.209; 1373.667;  192.278; 1279.056
345.801; 1003.667;  128.278; 1029.056
346.394; 1308.667;  163.278; 1321.056
346.986; 1271.667;  158.278; 1199.056
347.578; 1189.667;  152.278; 1090.056
348.171; 1252.667;  161.278; 1203.056
348.763; 1187.667;  153.278; 1100.056
349.355; 1155.667;  134.278; 1176.056
349.948; 1659.667;  210.278; 1653.056
350.540; 1426.667;  187.278; 1400.056
351.132; 1351.667;  195.278; 1297.056
351.724; 1181.667;  133.278; 1161.056
352.316; 1201.667;  166.278; 1171.056
352.909; 1365.667;  136.278; 1360.056
353.501; 1212.667;  134.278; 1243.056
354.093; 1295.667;  154.278; 1290.056
354.685; 1312.667;  167.278; 1252.056
355.277; 1146.667;  132.278; 1101.056
355.869; 1370.667;  191.278; 1303.056
356.461; 1323.667;  140.278; 1287.056
357.052; 1145.667;  164.278; 1142.056
357.644; 1393.667;  184.278; 1351.056
358.236; 1182.667;  149.278; 1138.056
358.828; 1114.667;  134.278; 1059.056
359.420; 1381.667;  209.278; 1309.056
360.011; 1528.667;  187.278; 1474.056
360.603; 1664.667;  249.278; 1681.056
361.195; 1314.667;  195.278; 1288.056
361.786; 1366.667;  190.278; 1313.056
362.378; 1116.667;  135.278; 1116.056
362.970; 1117.667;  130.278; 1044.056
363.561; 1099.667;  107.278; 1062.056
364.153; 1174.667;  140.278; 1155.056
364.744; 1260.667;  166.278; 1150.056
365.336; 1185.667;  132.278; 1169.056
